S.No.,Country,2008-2009,% share,2009-2010,% share2,2010-2011,% share3,2011-2012,% share4,2012-2013,% share5,2013-2014,% share6,2014-2015,% share7,2015-2016,% share8,2016-2017,% share9,2017-2018,% share10,2018-2019,% share11,2019-2020,% share12,2020-2021,% share13,2021-2022,% share14,2022-2023,% share15,2023-2024,% share16,,Ave Imp,Ave Share
55,CROATIA,"68,127.22",0.0496,"6,672.31",0.0049,502.85,0.0003,"13,016.52",0.0055,"11,588.51",0.0043,"3,13,987.16",0.1156,"13,969.50",0.0051,"3,31,895.22",0.1333,"3,23,083.97",0.1253,"8,673.89",0.0029,"2,73,690.87",0.0761,"2,12,747.87",0.0633,"2,90,622.49",0.0997,"6,64,439.10",0.1453,"6,18,833.64",0.1076,"7,59,207.24",0.1357,,"2,44,441.15",0.06715625
56,CUBA,"2,18,371.15",0.1589,"2,65,889.52",0.195,"9,303.58",0.0055,"3,42,663.31",0.1461,"3,50,212.17",0.1312,"2,69,152.23",0.0991,"3,16,601.80",0.1157,"2,81,196.34",0.1129,"1,897.17",0.0007,"4,31,538.36",0.1438,"1,80,771.42",0.0503,"4,48,431.76",0.1334,"4,36,570.52",0.1497,"31,027.57",0.0068,"45,063.18",0.0078,"18,400.55",0.0033,,"2,27,943.16",0.0912625
57,CYPRUS,"2,18,073.47",0.1587,"2,82,876.68",0.2074,"3,07,923.80",0.1829,"2,93,219.65",0.125,"2,94,972.26",0.1105,"2,426.24",0.0009,"2,80,094.30",0.1023,793.38,0.0003,"4,51,477.44",0.1751,"3,64,067.88",0.1213,"3,75,277.20",0.1044,"13,769.32",0.0041,"14,901.46",0.0051,"4,84,245.73",0.1059,"2,91,080.57",0.0506,"4,72,624.76",0.0845,,"2,59,239.01",0.0961875
58,CZECH REPUBLIC,"1,685.39",0.0012,564.31,0.0004,"2,15,368.79",0.1279,"1,032.84",0.0004,"2,811.38",0.0011,"7,584.00",0.0028,904.18,0.0003,"3,14,610.48",0.1263,524.49,0.0002,"3,508.90",0.0012,"11,004.01",0.0031,"2,54,877.02",0.0758,"1,88,089.43",0.0645,141.9,0,486.13,0.0001,414.12,0.0001,,"62,725.46",0.0253375
59,DENMARK,"4,763.87",0.0035,"4,476.22",0.0033,"1,093.92",0.0006,"3,184.58",0.0014,"5,901.94",0.0022,42.98,0,"1,80,321.98",0.0659,62.29,0,"2,38,436.18",0.0925,"4,17,233.01",0.139,"3,99,987.70",0.1113,174.96,0.0001,184.06,0.0001,"7,53,781.70",0.1648,"8,16,261.58",0.142,"6,58,474.41",0.1177,,"2,17,773.84",0.052775
60,DJIBOUTI,291.4,0.0002,231.5,0.0002,"7,217.24",0.0043,132.84,0.0001,862.31,0.0003,"1,58,780.52",0.0585,62.7,0,"3,65,202.17",0.1466,"7,81,042.81",0.303,177.13,0.0001,222.24,0.0001,"2,55,549.59",0.076,"2,47,931.70",0.085,"26,23,628.39",0.5737,"15,66,833.99",0.2725,"10,15,887.27",0.1816,,"4,39,003.36",0.1063875
61,DOMINIC REP,"15,004.57",0.0109,"32,176.25",0.0236,153.85,0.0001,"21,670.25",0.0092,"4,70,824.03",0.1764,"14,39,114.11",0.53,"6,41,478.47",0.2344,"7,92,178.69",0.3181,"3,871.05",0.0015,"1,25,030.20",0.0417,"1,53,989.86",0.0428,"14,39,089.09",0.4282,"14,01,948.41",0.4808,"3,058.96",0.0007,"1,851.15",0.0003,"2,152.77",0.0004,,"4,08,974.48",0.14369375
62,DOMINICA,"9,76,506.19",0.7105,"8,03,588.19",0.5893,"75,495.00",0.0448,"14,35,052.72",0.6118,"13,85,426.15",0.519,"4,811.83",0.0018,"10,64,543.80",0.3889,"4,016.46",0.0016,"5,35,255.58",0.2077,"8,33,268.83",0.2777,"11,69,816.17",0.3254,"2,267.15",0.0007,"2,840.22",0.001,"6,58,112.07",0.1439,"5,61,015.71",0.0976,"2,65,366.16",0.0474,,"6,11,086.39",0.24806875
63,ECUADOR,"2,665.85",0.0019,"2,545.60",0.0019,"6,15,785.56",0.3658,"3,961.80",0.0017,"4,718.83",0.0018,"1,86,861.36",0.0688,"6,304.36",0.0023,"3,01,162.32",0.1209,"24,223.59",0.0094,"5,823.11",0.0019,"2,943.64",0.0008,"6,85,782.18",0.204,"2,11,394.33",0.0725,91.63,0,2.15,0,"1,14,484.44",0.0205,,"1,35,546.92",0.0546375
64,EGYPT A RP,88.42,0.0001,"1,25,757.52",0.0922,"2,458.04",0.0015,"1,04,437.74",0.0445,"2,86,584.21",0.1074,"2,885.95",0.0011,"4,58,072.28",0.1674,"1,09,347.39",0.0439,"68,705.77",0.0267,"4,86,860.60",0.1622,"4,42,648.96",0.1231,0.04,0,0.71,0,"53,883.11",0.0118,"1,13,468.89",0.0197,"67,828.17",0.0121,,"1,45,189.24",0.05085625
65,EL SALVADOR,"2,740.54",0.002,77.7,0.0001,55.83,0,"1,686.45",0.0007,"5,943.04",0.0022,"71,008.87",0.0262,"1,40,875.50",0.0515,"91,316.96",0.0367,"44,901.56",0.0174,"1,264.02",0.0004,0.49,0,"38,333.84",0.0114,"44,679.46",0.0153,"46,402.36",0.0101,"45,537.35",0.0079,984.78,0.0002,,"33,488.05",0.01138125
66,EQUTL GUINEA,"7,138.32",0.0052,"15,805.44",0.0116,344.47,0.0002,"1,15,121.34",0.0491,"1,20,127.66",0.045,"16,960.66",0.0062,"72,012.34",0.0263,"39,876.89",0.016,44901.56,  ,"39,029.94",0.013,"75,530.67",0.021,"69,431.59",0.0207,"24,209.81",0.0083,46402.36,  ,65.57,0,"7,55,140.67",0.135,,"90,131.21",0.025542857
67,ERITREA,"5,127.45",0.0037,"8,814.35",0.0065,"20,313.87",0.0121,"13,865.92",0.0059,"20,930.30",0.0078,988.14,0.0004,"27,166.54",0.0099,"1,107.79",0.0004,4.7,0,"30,609.19",0.0102,"37,759.70",0.0105,22.23,0,24209.81,0.0083,365.86,0.0001,82.23,0,522.93,0.0001,,"11,993.19",0.00474375
68,ESTONIA,436.63,0.0003,365.94,0.0003,"14,939.94",0.0089,"1,375.63",0.0006,795.95,0.0003,0.16,0,"1,589.85",0.0006,23.1,0,400.09,0.0002,3.48,0,20.48,0,404.15,0.0001,983.59,0.0003,"6,53,834.72",0.143,"12,01,664.09",0.209,219.44,0,,"1,17,316.08",0.022725
69,ETHIOPIA,11.64,0,29.25,0,619.61,0.0004,19.1,0,795.95,0.0003,"1,148.75",0.0004,39.86,0,243.76,0.0001,"6,79,193.12",0.2635,314.67,0.0001,498.52,0.0001,"4,42,606.24",0.1317,"5,27,809.69",0.181,245.14,0.0001,"1,427.96",0.0002,"51,64,174.60",0.9233,,"4,26,198.62",0.093825
70,FALKLAND IS,325.99,0.0002,638.2,0.0005,"3,323.77",0.002,"1,194.01",0.0005,753.5,0.0003,"6,42,189.88",0.2365,"1,112.89",0.0004,"6,55,012.19",0.263,978.15,0.0004,"9,02,266.44",0.3007,"7,79,505.34",0.2169,"2,017.21",0.0006,962.65,0.0003,824.72,0.0002,407.4,0.0001,"2,63,987.44",0.0472,,"2,03,468.74",0.0668625
71,FAROE IS.,"5,57,769.67",0.4058,"4,78,772.54",0.3511,"1,355.23",0.0008,"10,09,484.39",0.4304,"6,00,537.79",0.225,"1,529.24",0.0006,"5,59,980.29",0.2046,777.34,0.0003,7.8,0,550.71,0.0002,"1,284.66",0.0004,38.01,0,54.48,0,"43,05,326.35",0.9415,"50,01,864.68",0.8699,"34,261.13",0.0061,,"7,84,599.64",0.21479375
72,FIJI IS,"2,527.82",0.0018,288.34,0.0002,"7,52,769.42",0.4472,"50,707.01",0.0216,742.44,0.0003,14.1,0,871.14,0.0003,16.24,0,7.8,  ,46.58,0,7.09,0,"43,66,095.61",1.2991,"32,16,077.19",1.1029,"7,95,744.50",0.174,"3,15,037.28",0.0548,"83,591.87",0.0149,,"5,99,034.03",0.207806667
73,FINLAND,44.78,0,0.01,0,96.7,0.0001,11.91,0,7.89,0,15.9,0,16.69,0,17.92,0,"38,26,374.09",1.4844,"42,03,232.80",1.4006,"46,59,809.26",1.2963,"97,829.22",0.0291,"2,99,620.39",0.1028,"32,403.69",0.0071,"40,945.40",0.0071,"1,34,63,754.20",2.4073,,"16,64,011.30",0.420925
74,FR GUIANA,1.92,0,0.01,  ,4.96,0,11.91,  ,12.25,0,"22,33,134.10",0.8224,16.69,  ,"24,42,014.05",0.9806,"46,622.20",0.0181,"2,54,712.03",0.0849,"3,19,302.77",0.0888,"28,898.24",0.0086,"28,516.31",0.0098,"1,47,474.58",0.0323,"1,34,976.80",0.0235,"11,71,734.81",0.2095,,"4,25,464.60",0.175269231
75,FR POLYNESIA,"21,16,519.65",1.5399,"19,82,887.29",1.454,4.15,0,"20,82,646.00",0.8879,"25,35,102.98",0.9498,"5,07,703.34",0.187,"27,03,005.36",0.9875,"69,135.71",0.0278,"28,957.26",0.0112,"37,795.06",0.0126,"31,578.68",0.0088,"8,078.39",0.0024,"63,839.42",0.0219,"1,11,54,751.82",2.4394,"1,33,53,136.31",2.3224,250.17,0,,"22,92,211.97",0.6782875
76,FR S ANT TR,"76,962.53",0.056,"86,373.14",0.0633,"16,86,657.13",1.0019,"72,108.43",0.0307,"4,47,986.89",0.1678,"18,222.61",0.0067,"4,81,078.29",0.1758,"20,384.17",0.0082,"21,145.61",0.0082,"17,415.07",0.0058,"15,609.39",0.0043,"96,92,835.06",2.884,"1,01,10,482.47",3.4673,"11,15,516.41",0.2439,"15,19,982.11",0.2644,"7,29,890.98",0.1305,,"16,32,040.64",0.532425
77,FRANCE,"12,492.60",0.0091,"13,959.19",0.0102,"1,41,203.42",0.0839,"18,672.00",0.008,"16,650.39",0.0062,"14,395.04",0.0053,"21,959.34",0.008,"15,996.15",0.0064,"77,70,441.21",3.0145,"85,70,020.47",2.8557,"1,06,13,052.41",2.9524,"12,49,958.46",0.3719,"10,17,266.42",0.3489,182.26,0,"57,270.45",0.01,"1,583.79",0.0003,,"18,45,943.98",0.605675
78,GABON,"7,409.24",0.0054,"4,858.48",0.0036,"6,822.56",0.0041,"27,881.52",0.0119,"31,431.26",0.0118,"78,20,963.81",2.8802,"11,181.60",0.0041,"79,09,817.69",3.1762,"13,01,536.24",0.5049,"17,48,430.05",0.5826,"26,20,638.11",0.729,701.36,0.0002,334.89,0.0001,"2,23,671.69",0.0489,"9,49,094.27",0.1651,8.23,0,,"14,16,548.81",0.50800625
79,GAMBIA,"54,92,241.61",3.996,"48,88,575.63",3.5847,"17,232.22",0.0102,"74,84,059.50",3.1909,"77,93,366.10",2.9198,"2,25,026.87",0.0829,"78,18,109.63",2.8564,"19,40,467.70",0.7792,"81,882.16",0.0318,3.64,0,22.36,0,"87,582.38",0.0261,"1,06,003.83",0.0364,223671.69,  ,138.13,0,11.02,0,,"22,59,899.65",1.167626667
80,GEORGIA,"77,856.21",0.0566,"70,019.94",0.0513,"54,13,601.64",3.2157,"1,59,109.74",0.0678,"1,51,596.27",0.0568,83.56,0,"7,74,069.89",0.2828,1940467.7,  ,68.97,0,"61,888.14",0.0206,"1,00,353.47",0.0279,87582.38,0.0261,11.41,0,550.88,0.0001,"1,151.74",0.0002,"25,057.30",0.0045,,"5,53,966.83",0.254026667
81,GERMANY,77856.21,  ,2.02,0,"72,943.64",0.0433,28.94,0,49.71,0,"65,885.10",0.0243,0.21,0,"72,201.51",0.029,43.22,0,6.94,0,100353.47,  ,337.14,0.0001,337.6,0.0001,554.95,0.0001,256.44,0,17.43,0,,"24,429.66",0.006921429
82,GHANA,"31,933.84",0.0232,"73,953.90",0.0542,"5,388.55",0.0032,"52,754.09",0.0225,"60,957.91",0.0228,0.11,0,"77,879.98",0.0285,67.12,0,43.22,  ,171.74,0.0001,337.41,0.0001,139.39,0,513,0.0002,85.49,0,139.04,0,"11,44,521.49",0.2046,,"90,555.39",0.02396
83,GIBRALTAR,1.42,0,76.46,0.0001,"42,440.19",0.0252,11,0,30.43,0,1.45,0,43.2,0,39.68,0,"14,550.71",0.0056,4.25,0,261.8,0.0001,1.2,0,23.4,0,"15,689.15",0.0034,"16,626.29",0.0029,"62,497.47",0.0112,,"9,518.63",0.00303125
84,GREECE,33.42,0,34.71,0,17.4,0,12.6,0,0.56,0,208.35,0.0001,43.2,  ,39.68,  ,75.4,0,4.25,  ,1.7,0,"16,209.80",0.0048,"15,420.30",0.0053,15689.15,  ,4.81,0,"5,482.46",0.001,,"3,329.86",0.000933333
85,GREENLAND,33.24,0,11.76,0,5.88,0,880.87,0.0004,228.02,0.0001,208.35,  ,48,0,"8,136.51",0.0033,"1,87,442.98",0.0727,"10,292.55",0.0034,"11,297.80",0.0031,"2,95,480.86",0.0879,"11,99,914.18",0.4115,"26,99,285.68",0.5903,"16,48,775.49",0.2868,"12,627.79",0.0023,,"3,79,666.87",0.097453333
86,GRENADA,34.07,0,11.76,  ,22.13,0,4.7,0,0.24,0,"7,832.24",0.0029,1.44,0,"2,40,459.32",0.0966,"1,44,264.80",0.056,150.14,0.0001,11297.8,  ,"88,627.55",0.0264,"93,792.04",0.0322,"1,30,050.59",0.0284,"1,37,700.30",0.0239,"25,365.59",0.0045,,"54,975.92",0.019357143
87,GUADELOUPE,"1,322.06",0.001,"2,713.20",0.002,22.61,0,"3,147.77",0.0013,"4,539.09",0.0017,"1,11,615.73",0.0411,"10,436.60",0.0038,"1,29,430.62",0.052,"9,673.02",0.0038,"3,31,743.31",0.1105,"2,86,958.52",0.0798,"4,917.74",0.0015,"8,398.21",0.0029,"1,16,129.47",0.0254,"3,369.86",0.0006,"1,69,37,353.94",3.0284,,"11,22,610.73",0.2097375
88,GUAM,"1,20,995.25",0.088,"1,49,474.17",0.1096,"17,994.70",0.0107,"1,26,077.40",0.0538,"2,87,054.88",0.1075,"67,775.96",0.025,"4,44,901.14",0.1625,"12,139.88",0.0049,"2,420.59",0.0009,"1,65,129.13",0.055,"88,937.75",0.0247,"9,871.80",0.0029,"9,974.27",0.0034,"16,276.05",0.0036,"9,628.87",0.0017,"2,54,097.64",0.0454,,"1,11,421.84",0.043725
89,GUATEMALA,"46,596.16",0.0339,"87,269.35",0.064,"47,818.84",0.0284,"1,11,942.13",0.0477,"76,754.56",0.0288,"4,409.02",0.0016,"96,686.97",0.0353,"2,142.89",0.0009,0.19,0,"4,253.06",0.0014,"4,505.62",0.0013,"13,630.94",0.0041,"9,293.36",0.0032,"15,738.42",0.0034,"12,456.73",0.0022,"4,957.71",0.0009,,"33,653.50",0.01606875
90,GUINEA,"5,024.90",0.0037,"3,893.06",0.0029,"27,571.58",0.0164,"4,299.09",0.0018,"2,503.21",0.0009,579.13,0.0002,"6,318.66",0.0023,"10,353.03",0.0042,"14,891.73",0.0058,"5,321.00",0.0018,"9,669.39",0.0027,"1,19,99,898.32",3.5704,"1,12,21,827.11",3.8484,"1,42,40,079.56",3.1141,"1,46,58,642.99",2.5494,"1,93,86,389.38",3.4663,,"44,74,828.88",1.03695625
91,GUINEA BISSAU,817.18,0.0006,657.5,0.0005,"4,200.43",0.0025,968.24,0.0004,722.19,0.0003,579.13,  ,970.07,0.0004,"39,63,591.14",1.5916,"54,90,618.08",2.1301,"8,587.76",0.0029,"12,771.28",0.0036,"1,32,987.95",0.0396,"1,62,011.34",0.0556,"2,18,711.23",0.0478,"2,46,004.54",0.0428,"5,17,655.21",0.0926,,"6,72,615.83",0.26742
92,GUYANA,13.62,0,0.86,0,608.16,0.0004,"3,885.52",0.0017,87.46,0,"13,693.28",0.005,"15,453.80",0.0056,"1,58,564.93",0.0637,"1,46,633.86",0.0569,"68,77,702.27",2.2918,"1,25,97,191.41",3.5044,"7,393.52",0.0022,"4,612.84",0.0016,"4,241.05",0.0009,"3,939.62",0.0007,"2,48,55,610.66",4.4442,,"27,93,102.05",0.64869375
93,HAITI,"2,197.06",0.0016,"11,634.90",0.0085,608.16,0.0004,"49,57,017.02",2.1134,"9,720.28",0.0036,"44,10,706.05",1.6243,"34,08,862.40",1.2454,"2,746.19",0.0011,"3,157.05",0.0012,"1,74,581.99",0.0582,"1,68,369.14",0.0468,"1,06,72,726.80",3.1755,"92,32,528.22",3.1662,"1,32,04,914.08",2.8877,"2,30,81,527.64",4.0143,"46,90,539.48",0.8387,,"46,26,989.78",1.19918125
94,HEARD MACDONALD,"29,73,253.51",2.1633,"22,31,668.95",1.6364,654.21,0.0004,"2,06,607.18",0.0881,"43,03,011.83",1.6121,"1,33,438.29",0.0491,"1,46,600.68",0.0536,"85,79,957.42",3.4453,"90,08,193.45",3.4947,"4,778.19",0.0016,"6,090.05",0.0017,"9,76,201.73",0.2905,"2,44,797.12",0.084,73.4,0,23081527.64,  ,"16,59,925.96",0.2968,,"33,47,298.73",0.881173333
95,HONDURAS,"88,152.53",0.0641,"91,978.46",0.0674,"42,82,511.81",2.5439,"2,202.72",0.0009,"1,43,196.61",0.0536,"4,083.77",0.0015,"2,873.98",0.0011,"40,82,287.05",1.6393,"70,47,761.27",2.7342,"1,05,96,111.95",3.5308,"1,11,14,852.90",3.092,"1,68,35,448.07",5.0091,"1,05,65,526.45",3.6233,"3,46,335.49",0.0757,"5,40,715.30",0.094,"47,96,856.72",0.8577,,"44,08,805.94",1.4617875
96,HONG KONG,"1,620.70",0.0012,"4,805.72",0.0035,"1,56,632.32",0.093,"70,41,989.62",3.0024,"1,206.55",0.0005,"89,03,542.02",3.2789,"91,84,535.26",3.3556,"70,56,429.54",2.8336,"78,51,495.22",3.046,"71,62,010.29",2.3865,"94,11,296.93",2.6181,"4,26,604.24",0.1269,"3,06,898.93",0.1052,"2,38,41,803.59",5.2139,"2,75,20,214.51",4.7863,"6,192.93",0.0011,,"68,04,829.90",1.92829375
97,HUNGARY,"30,75,129.40",2.2374,"41,00,880.75",3.0071,"2,105.10",0.0013,"66,55,215.33",2.8375,"80,96,569.76",3.0334,"62,79,848.30",2.3127,"54,58,848.32",1.9944,"3,61,280.00",0.1451,"3,52,814.46",0.1369,"1,13,45,266.55",3.7805,"1,56,60,099.03",4.3565,"11,29,659.46",0.3361,"14,48,158.25",0.4966,"8,46,793.27",0.1852,"29,40,271.58",0.5114,"1,46,50,632.96",2.6195,,"51,50,223.28",1.749475
98,ICELAND,"55,82,184.47",4.0614,"54,63,556.74",4.0063,"45,13,629.30",2.6812,"90,53,148.36",3.8599,"63,02,560.76",2.3613,"1,11,63,769.78",4.1112,"86,77,872.85",3.1705,"13,71,293.13",0.5507,"13,14,732.57",0.51,"5,12,551.66",0.1708,"2,95,479.01",0.0822,"31,77,753.97",0.9455,"28,59,165.94",0.9805,"22,97,453.12",0.5024,"18,62,314.30",0.3239,"11,66,397.82",0.2086,,"41,00,866.49",1.7829
99,INDONESIA,"34,28,501.21",2.4945,"33,27,268.42",2.4398,"49,72,462.81",2.9537,"1,97,493.25",0.0842,"1,04,59,636.16",3.9187,"3,37,948.27",0.1245,"3,25,978.97",0.1191,"26,64,462.56",1.0699,"26,12,844.79",1.0136,"13,32,119.79",0.4439,"13,46,984.55",0.3747,"2,090.15",0.0006,"1,644.86",0.0006,"37,63,003.64",0.8229,"44,92,319.19",0.7813,"78,854.15",0.0141,,"24,58,975.80",1.04100625
100,IRAN,"1,10,214.16",0.0802,"1,25,774.04",0.0922,"40,97,724.66",2.4341,"12,68,405.85",0.5408,"2,70,658.10",0.1014,"13,88,773.51",0.5114,"14,22,942.54",0.5199,"1,017.65",0.0004,784.25,0.0003,"30,33,679.21",1.0109,"37,00,309.92",1.0294,"88,03,362.83",2.6193,"80,81,915.37",2.7716,"1,341.98",0.0003,"3,996.74",0.0007,"1,46,053.52",0.0261,,"20,28,559.65",0.7336875
101,IRAQ,"9,49,903.46",0.6911,"8,92,765.57",0.6546,"1,18,093.36",0.0701,"24,50,936.87",1.045,"12,81,441.93",0.4801,"25,14,057.31",0.9258,"25,86,217.40",0.9449,"64,49,314.69",2.5898,"65,41,452.47",2.5377,"2,807.13",0.0009,"3,500.44",0.001,101.87,0,8081915.37,  ,"1,07,29,740.27",2.3464,"1,32,61,477.63",2.3064,"1,168.79",0.0002,,"34,91,555.91",0.972933333
102,IRELAND,"19,98,356.25",1.4539,"18,27,411.51",1.34,"10,26,344.81",0.6097,773.22,0.0003,"25,65,242.04",0.9611,549.78,0.0002,"1,086.91",0.0004,"5,58,032.06",0.2241,"5,55,610.91",0.2155,"70,74,524.84",2.3574,"89,27,838.13",2.4836,"7,54,261.40",0.2244,"7,89,638.49",0.2708,"13,62,785.06",0.298,"18,32,966.12",0.3188,"1,75,04,596.78",3.1298,,"29,23,751.14",0.868
103,ISRAEL,506.38,0.0004,314.82,0.0002,"19,39,469.59",1.1521,"57,67,103.11",2.4588,"1,326.47",0.0005,"57,21,168.94",2.1069,"61,99,039.65",2.2648,"2,29,490.16",0.0922,"3,47,377.19",0.1348,7074524.84,  ,36.17,0,"16,03,667.85",0.4771,"5,99,350.14",0.2055,"2,41,755.62",0.0529,"1,61,848.42",0.0281,"69,40,853.60",1.241,,"23,01,739.56",0.68102
104,ITALY,"35,83,282.46",2.6071,"31,89,384.21",2.3387,351.19,0.0002,"7,14,506.02",0.3046,"67,54,720.77",2.5307,"3,63,718.58",0.1339,"5,25,293.18",0.1919,"83,744.14",0.0336,"69,914.52",0.0271,"6,34,875.34",0.2116,"7,82,225.95",0.2176,"63,278.37",0.0188,"96,145.15",0.033,"1,08,259.84",0.0237,"93,874.29",0.0163,"7,760.72",0.0014,,"10,66,958.42",0.5431375
105,JAMAICA,"8,00,087.81",0.5821,"3,92,371.45",0.2877,"39,30,930.77",2.335,"93,086.46",0.0397,"5,11,172.81",0.1915,"3,97,849.12",0.1465,"4,26,691.98",0.1559,83744.14,  ,"59,170.61",0.023,"5,85,710.04",0.1952,"4,95,342.41",0.1378,"2,467.53",0.0007,"1,043.14",0.0004,30.4,0,93874.29,  ,"82,601.42",0.0148,,"4,97,260.90",0.293592857
106,JAPAN,"73,352.81",0.0534,"73,596.96",0.054,"3,74,402.61",0.2224,"54,144.12",0.0231,"76,278.01",0.0286,"76,313.20",0.0281,"71,708.72",0.0262,"56,737.78",0.0228,"84,40,432.93",3.2744,"46,781.04",0.0156,"96,121.88",0.0267,"1,10,88,343.94",3.2992,"94,47,621.69",3.24,"3,900.21",0.0009,"2,022.56",0.0004,"1,52,066.85",0.0272,,"18,83,364.08",0.6464375
107,JORDAN,"37,619.20",0.0274,"37,621.61",0.0276,"63,029.21",0.0374,54144.12,  ,"57,736.47",0.0216,1.81,0,7.69,0,"85,36,310.91",3.4278,"29,89,905.25",1.1599,46781.04,  ,155.05,0,"67,93,208.72",2.0212,"38,52,493.57",1.3212,"1,30,29,934.56",2.8495,"1,70,63,180.53",2.9676,"93,272.66",0.0167,,"32,90,962.65",0.991278571
108,KAZAKHSTAN,29.45,0,37621.61,  ,"56,611.42",0.0336,"87,536.15",0.0373,43.31,0,"6,788.49",0.0025,"80,472.47",0.0294,"32,37,881.59",1.3002,"1,001.36",0.0004,"16,155.84",0.0054,"2,061.24",0.0006,928.65,0.0003,"3,798.26",0.0013,"82,11,471.04",1.7957,"98,45,803.04",1.7124,57.86,0,,"13,49,266.36",0.32794
109,KENYA,"24,147.79",0.0176,"4,144.45",0.003,202.5,0.0001,"61,57,031.43",2.6251,"1,41,480.11",0.053,"75,28,258.41",2.7724,"82,72,008.53",3.0222,"1,180.11",0.0005,"1,39,071.66",0.054,"1,05,42,283.54",3.5129,"1,17,25,531.27",3.2619,"2,190.32",0.0007,"1,256.39",0.0004,"1,342.42",0.0003,"3,390.67",0.0006,"10,324.36",0.0018,,"27,84,615.25",0.95790625
110,KIRIBATI REP,"39,65,818.96",2.8854,"40,55,061.49",2.9735,"65,893.07",0.0391,"79,44,946.24",3.3874,"71,33,725.25",2.6726,"1,03,36,261.19",3.8065,"81,51,069.71",2.978,"1,18,162.51",0.0474,"26,625.16",0.0103,"46,22,089.70",1.5402,"51,94,935.58",1.4452,"1,88,671.75",0.0561,"36,295.70",0.0124,598.73,0.0001,"60,453.24",0.0105,"1,97,426.52",0.0353,,"32,56,127.18",1.36875
111,KOREA DP RP,"43,19,944.55",3.1431,"38,98,799.19",2.8589,"47,71,247.70",2.8342,420.87,0.0002,"90,18,425.30",3.3787,383.7,0.0001,472.15,0.0002,"39,937.90",0.016,"20,252.52",0.0079,"19,933.80",0.0066,"1,838.61",0.0005,"21,918.94",0.0065,"20,660.49",0.0071,"1,00,806.27",0.022,"1,99,999.41",0.0348,"7,068.87",0.0013,,"14,02,631.89",0.76988125
112,KOREA RP,451.63,0.0003,307.88,0.0002,"46,97,602.94",2.7904,"44,065.07",0.0188,"1,142.64",0.0004,"22,919.32",0.0084,"52,282.93",0.0191,"18,017.12",0.0072,"16,718.09",0.0065,"1,08,800.58",0.0363,717.78,0.0002,32,0,125.96,0,"24,212.96",0.0053,"75,097.79",0.0131,"1,13,093.19",0.0202,,"3,23,474.24",0.1829
113,KUWAIT,214.92,0.0002,"9,218.20",0.0068,542.35,0.0003,"66,871.38",0.0285,"76,479.58",0.0287,"62,225.41",0.0229,"21,981.11",0.008,"3,190.98",0.0013,"5,146.04",0.002,"33,910.15",0.0113,"1,11,063.91",0.0309,"5,506.31",0.0016,"5,147.48",0.0018,24212.96,  ,1.68,0,"2,18,632.17",0.0391,,"40,271.54",0.012226667
114,KYRGHYZSTAN,"53,692.34",0.0391,"73,010.77",0.0535,100.53,0.0001,"10,245.74",0.0044,"40,251.81",0.0151,"22,429.09",0.0083,"24,203.07",0.0088,"20,467.44",0.0082,"5,001.11",0.0019,"24,811.44",0.0083,"30,460.74",0.0085,"30,192.29",0.009,"51,440.44",0.0176,"15,831.41",0.0035,"21,535.97",0.0037,"6,250.86",0.0011,,"26,870.32",0.01194375
115,LAO PD RP,"6,248.27",0.0045,"3,205.55",0.0024,"89,981.77",0.0535,"1,421.26",0.0006,"16,339.74",0.0061,"1,400.97",0.0005,843.1,0.0003,"5,644.55",0.0023,575.74,0.0002,"57,835.70",0.0193,1.63,0,293.71,0.0001,247.93,0.0001,"2,66,117.61",0.0582,"5,90,173.56",0.1026,608.31,0.0001,,"65,058.71",0.015675
116,LATVIA,120.55,0.0001,276.91,0.0002,"8,377.64",0.005,"4,264.80",0.0018,"2,371.06",0.0009,"15,624.16",0.0058,"35,939.59",0.0131,773.56,0.0003,"1,81,924.72",0.0706,"23,663.41",0.0079,"93,093.53",0.0259,"1,84,321.39",0.0548,"2,38,198.52",0.0817,621.83,0.0001,"1,584.80",0.0003,"1,58,532.25",0.0283,,"59,355.55",0.01855
117,LEBANON,"63,531.98",0.0462,"9,261.59",0.0068,509.7,0.0003,"19,642.56",0.0084,"11,416.12",0.0043,"2,64,475.55",0.0974,"41,920.23",0.0153,"1,40,414.46",0.0564,"30,959.40",0.012,"65,269.87",0.0217,"1,00,146.38",0.0279,"38,499.37",0.0115,"22,585.95",0.0077,"1,49,287.76",0.0326,"92,101.23",0.016,"48,572.54",0.0087,,"68,662.17",0.023325
118,LESOTHO,"3,07,213.58",0.2235,"2,94,147.65",0.2157,"8,051.66",0.0048,311.17,0.0001,"9,98,030.08",0.3739,278.94,0.0001,718.46,0.0003,"1,14,324.72",0.0459,"5,300.57",0.0021,"1,030.31",0.0003,"2,531.60",0.0007,"3,631.61",0.0011,"18,038.09",0.0062,"50,306.85",0.011,"81,850.63",0.0142,"1,05,57,314.81",1.8876,,"7,77,692.55",0.17421875
119,LIBERIA,34.64,0,20.33,0,"4,40,249.32",0.2615,"98,445.58",0.042,468.44,0.0002,"32,325.67",0.0119,"67,795.71",0.0248,"5,427.76",0.0022,"16,158.96",0.0063,"1,22,289.64",0.0407,"1,48,021.43",0.0412,"10,210.66",0.003,"4,349.18",0.0015,"14,953.55",0.0033,"10,748.38",0.0019,"71,824.12",0.0128,,"65,207.71",0.02833125
