S.No.,Country,2008-2009,% share,2009-2010,% share2,2010-2011,% share3,2011-2012,% share4,2012-2013,% share5,2013-2014,% share6,2014-2015,% share7,2015-2016,% share8,2016-2017,% share9,2017-2018,% share10,2018-2019,% share11,2019-2020,% share12,2020-2021,% share13,2021-2022,% share14,2022-2023,% share15,2023-2024,% share16,,Ave Imp,Ave Share
16,BAHAMAS,"6,36,671.99",0.4632,"2,38,454.94",0.1749,"2,028.91",0.0012,"1,593.74",0.0007,"55,553.32",0.0208,"3,05,211.14",0.1124,413.04,0.0002,"51,061.23",0.0205,"1,72,764.65",0.067,"26,090.62",0.0087,"27,517.98",0.0077,"10,265.00",0.0031,"26,347.56",0.009,"2,617.98",0.0006,"2,943.22",0.0005,"17,264.65",0.0031,,"98,550.00",0.05585
17,BAHARAIN IS,"1,41,846.07",0.1032,"1,20,528.14",0.0884,"2,91,949.76",0.1734,"4,32,624.88",0.1845,"3,59,671.24",0.1348,"3,44,888.13",0.127,"2,72,004.96",0.0994,"2,33,866.38",0.0939,"1,95,085.05",0.0757,"2,78,292.20",0.0927,"3,77,480.56",0.105,"2,99,033.20",0.089,"4,04,103.61",0.1386,"5,62,961.00",0.1231,"8,14,232.06",0.1416,"6,87,409.78",0.1229,,"3,63,498.56",0.118325
18,BANGLADESH PR,37.46,0,95.62,0.0001,"2,03,138.64",0.1207,"2,79,636.10",0.1192,"3,46,792.73",0.1299,"2,90,332.86",0.1069,"3,79,440.83",0.1386,"4,76,707.24",0.1914,"4,70,773.13",0.1826,"4,41,997.78",0.1473,"7,33,869.49",0.2042,"8,97,514.07",0.267,"8,05,347.95",0.2762,"14,74,950.21",0.3226,"16,24,526.23",0.2825,"15,26,812.52",0.273,,"6,21,998.30",0.1726375
19,BARBADOS,"1,25,541.11",0.0913,"2,06,616.33",0.1515,69.8,0,363.41,0.0002,52.03,0,68.7,0,100.64,0,107.46,0,121.21,0,128.98,0,"1,227.96",0.0003,"1,046.94",0.0003,448.4,0.0002,627.36,0.0001,"1,045.25",0.0002,"2,692.66",0.0005,,"21,266.14",0.0152875
20,BELARUS,"26,05,788.66",1.8959,"28,46,578.31",2.0873,"93,994.27",0.0558,"89,883.91",0.0383,"1,16,201.59",0.0435,"94,705.35",0.0349,"1,11,371.05",0.0407,"1,06,587.44",0.0428,"1,14,293.44",0.0443,"1,33,782.43",0.0446,"1,58,218.52",0.044,"1,03,650.19",0.0308,"2,13,145.94",0.0731,"2,84,137.82",0.0621,"53,163.24",0.0092,"12,610.81",0.0023,,"4,46,132.06",0.28435
21,BELGIUM,48.19,0,174.38,0.0001,"39,17,866.54",2.3273,"49,75,727.42",2.1214,"54,53,675.79",2.0432,"64,67,230.82",2.3817,"65,93,873.86",2.4091,"54,00,131.46",2.1685,"44,39,563.86",1.7223,"38,64,569.12",1.2877,"73,00,229.11",2.0308,"62,83,075.35",1.8694,"51,24,677.10",1.7575,"74,17,679.12",1.6221,"73,58,518.64",1.2798,"59,92,478.27",1.0714,,"50,36,844.94",1.63076875
22,BELIZE,"49,119.57",0.0357,"59,721.30",0.0438,95.1,0.0001,38.02,0,114.9,0,943.78,0.0003,130.36,0,651.66,0.0003,348.61,0.0001,876.9,0.0003,451.78,0.0001,672.63,0.0002,371.57,0.0001,369.71,0.0001,849.8,0.0001,226.55,0,,"7,186.39",0.005075
23,BENIN,"31,262.39",0.0227,93.99,0.0001,"70,043.33",0.0416,"1,19,981.42",0.0512,"1,34,996.28",0.0506,"1,00,098.27",0.0369,"1,34,270.18",0.0491,"1,77,788.10",0.0714,"1,39,130.10",0.054,"1,43,688.67",0.0479,"2,60,431.23",0.0724,"2,53,394.30",0.0754,"2,43,990.03",0.0837,"2,98,434.69",0.0653,"3,59,383.60",0.0625,"1,78,060.24",0.0318,,"1,65,315.43",0.0510375
24,BERMUDA,"68,786.18",0.05,"72,298.50",0.053,1.77,0,119981.42,  ,24.22,0,100098.27,  ,57.7,0,0.2,0,11,0,2.75,0,"5,342.19",0.0015,0.01,0,29.15,0,9.09,0,40.71,0,"1,78,060.24",0.0318,,"34,046.46",0.009735714
25,BHUTAN,"3,421.21",0.0025,"1,589.63",0.0012,"91,735.68",0.0545,"97,357.11",0.0415,"89,244.65",0.0334,"91,932.97",0.0339,"91,527.93",0.0334,"1,82,684.98",0.0734,"2,06,299.31",0.08,"2,43,580.96",0.0812,"2,59,008.62",0.0721,"2,87,076.86",0.0854,"3,21,422.74",0.1102,"4,05,416.62",0.0887,"4,30,989.42",0.075,"2,80,749.36",0.0502,,"1,92,752.38",0.0572875
26,BOLIVIA,632.41,0.0005,239.31,0.0002,"3,048.25",0.0018,"1,932.69",0.0008,"4,002.79",0.0015,"1,443.16",0.0005,"2,191.87",0.0008,"1,58,033.53",0.0635,"1,16,654.77",0.0453,"4,30,403.16",0.1434,"5,98,857.66",0.1666,"5,99,581.85",0.1784,"8,53,717.82",0.2928,"15,45,912.46",0.3381,"20,36,545.31",0.3542,"8,99,413.57",0.1608,,"4,53,288.16",0.109325
27,BOSNIA-HRZGOVIN,"9,778.74",0.0071,"3,275.86",0.0024,"8,604.01",0.0051,"8,631.30",0.0037,"10,592.59",0.004,"1,006.65",0.0004,"2,607.82",0.001,"2,874.95",0.0012,"2,226.79",0.0009,"5,638.05",0.0019,"1,711.64",0.0005,"2,374.83",0.0007,"1,425.31",0.0005,"2,258.11",0.0005,"2,026.32",0.0004,"4,301.47",0.0008,,"4,333.40",0.00194375
28,BOTSWANA,147.86,0.0001,77.57,0.0001,"12,165.86",0.0072,"25,398.22",0.0108,"31,281.84",0.0117,"2,36,081.22",0.0869,"6,16,766.77",0.2253,"3,53,875.58",0.1421,"8,76,627.31",0.3401,"10,56,068.63",0.3519,"6,80,985.35",0.1894,"5,28,431.82",0.1572,"3,39,400.69",0.1164,"3,93,041.59",0.086,"3,67,158.39",0.0639,"2,69,990.68",0.0483,,"3,61,718.71",0.1148375
29,BR VIRGN IS,"5,44,949.69",0.3965,"16,25,997.86",1.1923,397.61,0.0002,204.99,0.0001,535.8,0.0002,97.53,0,501.21,0.0002,"1,031.60",0.0004,"4,499.18",0.0017,565.22,0.0002,"11,714.91",0.0033,"6,053.71",0.0018,"8,174.10",0.0028,"10,919.68",0.0024,"8,629.81",0.0015,"1,17,232.27",0.021,,"1,46,344.07",0.1015375
30,BRAZIL,"1,88,194.37",0.1369,"2,02,852.73",0.1487,"16,06,429.86",0.9542,"20,42,032.01",0.8706,"26,43,882.72",0.9905,"22,54,729.99",0.8303,"33,03,653.63",1.207,"26,39,248.46",1.0598,"27,65,261.71",1.0728,"35,42,854.16",1.1805,"30,83,996.67",0.8579,"21,82,203.85",0.6493,"22,34,485.65",0.7663,"42,57,459.26",0.931,"53,77,961.94",0.9353,"51,44,635.04",0.9199,,"27,16,867.63",0.8444375
31,BRUNEI,"27,187.64",0.0198,"15,470.76",0.0113,"1,06,485.70",0.0633,"2,85,369.97",0.1217,"4,40,597.91",0.1651,"4,57,496.70",0.1685,"5,13,396.97",0.1876,"3,61,037.07",0.145,"4,20,846.95",0.1633,"2,80,459.23",0.0935,"4,12,202.70",0.1147,"4,17,035.82",0.1241,"2,42,739.70",0.0832,"2,92,792.78",0.064,"2,45,827.79",0.0428,"1,81,709.92",0.0325,,"2,93,791.10",0.100025
32,BULGARIA,"18,889.87",0.0137,"2,934.78",0.0022,"26,266.37",0.0156,"47,006.33",0.02,"49,112.72",0.0184,"56,792.55",0.0209,"63,418.90",0.0232,"61,564.98",0.0247,"1,22,007.72",0.0473,"91,573.50",0.0305,"87,564.22",0.0244,"1,01,849.78",0.0303,"92,850.81",0.0318,"1,29,270.86",0.0283,"3,49,602.16",0.0608,"1,59,427.66",0.0285,,"91,258.33",0.0262875
33,BURKINA FASO,323.13,0.0002,353.81,0.0003,"1,895.13",0.0011,"7,767.35",0.0033,"7,960.96",0.003,"10,094.28",0.0037,"93,735.45",0.0342,"1,55,032.22",0.0623,"1,71,503.61",0.0665,"4,08,139.06",0.136,"6,14,860.58",0.171,"3,83,941.87",0.1142,"2,65,072.62",0.0909,"3,17,266.29",0.0694,"91,875.61",0.016,"1,68,392.24",0.0301,,"1,68,638.39",0.0501375
34,BURUNDI,"1,149.03",0.0008,313.86,0.0002,110.15,0.0001,293.07,0.0001,124.31,0,112.13,0,179.21,0.0001,70.57,0,"1,069.45",0.0004,"10,646.98",0.0035,"3,082.01",0.0009,"2,689.50",0.0008,51.37,0,29.78,0,304.15,0.0001,63,0.0301,,"1,268.04",0.00231875
