S.No.,Country,2008-2009,%Share,2009-2010,%Share2,2010-2011,%Share3,2011-2012,%Share4,2012-2013,%Share5,2013-2014,%Share6,2014-2015,%Share7,2015-2016,%Share8,2016-2017,%Share9,2017-2018,%Share10,2018-2019,%Share11,2019-2020,%Share12,2020-2021,%Share13,2021-2022,%Share14,2022-2023,%Share15,2023-2024,%Share16,2024-2025,%Share17,2008-2009,% share,2009-2010,% share2,2010-2011,% share3,2011-2012,% share4,2012-2013,% share5,2013-2014,% share6,2014-2015,% share7,2015-2016,% share8,2016-2017,% share9,2017-2018,% share10,2018-2019,% share11,2019-2020,% share12,2020-2021,% share13,2021-2022,% share14,2022-2023,% share15,2023-2024,% share16,Sum of Exp,Sum of Imp,Diff of imp And Exp,Ave Imp per Country,Ave exp per Country,Ave Imp share ,Ave exp share
11,ARMENIA,"9,221.80",0.011,"8,755.04",0.0104,"8,996.24",0.0079,"18,382.13",0.0125,"22,043.35",0.0135,"44,205.11",0.0232,"56,035.87",0.0295,"15,001.63",0.0087,"20,326.52",0.011,"21,461.84",0.011,"18,075.61",0.0078,"28,605.01",0.0129,"51,462.16",0.0238,"20,436.52",0.0065,"49,566.44",0.0137,"78,813.55",0.0218,"24,814.53",0.0397,8.3,0,1403.26,  ,"3,224.82",0.0019,"2,891.22",0.0012,810.6,0.0003,"1,043.16",0.0004,500.47,0.0002,"9,286.74",0.0037,704.48,0.0003,418.49,0.0001,629.32,0.0002,"1,102.56",0.0003,"70,814.42",0.0243,"1,00,618.92",0.022,"57,899.70",0.0101,"29,829.32",0.0053,"4,96,203.35","2,81,185.78","2,15,017.57",16540.34,27566.85278,0.00439375,0.014716667
12,ARUBA,900.86,0.0011,699.95,0.0008,679.79,0.0006,"1,273.99",0.0009,"1,569.30",0.001,"2,013.65",0.0011,"2,378.56",0.0013,"4,545.62",0.0026,"5,307.44",0.0029,"4,152.99",0.0021,"6,748.33",0.0029,"7,003.48",0.0032,"2,069.05",0.001,"4,639.37",0.0015,"11,812.97",0.0033,"12,232.21",0.0034,"1,561.69",0.0025,"50,49,651.71",3.674,"58,66,199.07",4.3016,864.3,0.0005,54.17,0,128.88,0,83.34,0,17.21,0,195.3,0.0001,"2,850.27",0.0011,257.77,0.0001,382.45,0.0001,215.68,0.0001,597.69,0.0002,"1,314.69",0.0003,622.38,0.0001,972.2,0.0002,"69,589.25","1,09,24,407.11","-1,08,54,817.86",642612.1829,3866.069444,0.469317647,0.001788889
13,AUSTRALIA,"6,57,633.39",0.7822,"6,55,895.11",0.7757,"7,80,297.64",0.6863,"11,99,021.98",0.8179,"12,79,380.49",0.7828,"13,95,848.63",0.7327,"17,00,121.25",0.8965,"21,33,079.57",1.2428,"19,82,786.24",1.0721,"25,85,652.49",1.3216,"24,56,008.99",1.0643,"20,19,788.66",0.9099,"29,92,763.87",1.3862,"61,84,104.67",1.9651,"55,55,482.59",1.534,"65,66,764.17",1.8144,"8,58,059.50",1.3716,"3,20,738.18",0.2334,"3,72,695.63",0.2733,"49,18,755.83",2.9218,"74,61,961.91",3.1814,"71,21,710.96",2.6681,"58,95,759.05",2.1712,"62,70,102.96",2.2908,"58,18,066.66",2.3363,"74,86,443.46",2.9043,"90,19,721.94",3.0055,"91,63,831.81",2.5493,"69,18,324.06",2.0584,"60,97,078.89",2.0909,"1,25,02,983.17",2.7342,"1,52,00,282.02",2.6436,"1,33,78,356.66",2.392,"4,10,02,689.24","11,79,46,813.19","-7,69,44,123.95",6938047.835,2277927.18,2.144382353,1.064227778
14,AUSTRIA,"2,32,281.02",0.2763,"1,20,039.04",0.142,"2,69,235.05",0.2368,"1,63,132.06",0.1113,"1,78,811.36",0.1094,"2,03,706.98",0.1069,"2,21,799.75",0.117,"2,22,762.95",0.1298,"2,56,859.69",0.1389,"2,96,472.88",0.1515,"3,37,375.05",0.1462,"3,22,884.71",0.1455,"3,35,433.26",0.1554,"4,20,510.60",0.1336,"10,17,757.23",0.281,"9,41,251.24",0.2601,"2,28,774.74",0.3657,"86,416.95",0.0629,"1,33,572.24",0.0979,"3,71,772.18",0.2208,"5,19,590.96",0.2215,"5,03,394.79",0.1886,"5,01,811.16",0.1848,"4,98,236.97",0.182,"5,42,210.45",0.2177,"6,08,498.12",0.2361,"6,27,436.73",0.2091,"5,00,420.45",0.1392,"4,45,860.82",0.1327,"4,60,978.73",0.1581,"6,15,116.08",0.1345,"6,74,076.93",0.1172,"7,63,882.55",0.1366,"57,69,087.61","78,53,276.11","-20,84,188.50",461957.4182,320504.8672,0.155276471,0.167077778
15,AZERBAIJAN,"15,910.20",0.0189,"14,202.10",0.0168,"17,527.67",0.0154,"34,981.60",0.0239,"47,495.03",0.0291,"74,670.28",0.0392,"67,597.06",0.0356,"21,822.15",0.0127,"27,053.77",0.0146,"21,713.98",0.0111,"30,626.95",0.0133,"37,606.14",0.0169,"37,621.54",0.0174,"27,149.22",0.0086,"81,373.28",0.0225,"74,289.72",0.0205,"11,918.07",0.0191,"19,754.74",0.0144,229.12,0.0002,"91,110.79",0.0541,"3,26,550.13",0.1392,"2,84,778.89",0.1067,"6,85,702.70",0.2525,"1,18,897.41",0.0434,"48,686.71",0.0196,"3,10,494.67",0.1205,"3,82,752.21",0.1275,"1,02,919.28",0.0286,"1,94,303.53",0.0578,"1,68,328.63",0.0577,"78,559.92",0.0172,"3,89,635.49",0.0678,607.91,0.0001,"6,43,558.76","32,03,312.13","-25,59,753.37",188430.1253,35753.26444,0.065135294,0.018644444
16,BAHAMAS,"1,034.54",0.0012,"4,11,243.13",0.4864,"9,93,037.59",0.8734,"10,56,148.60",0.7204,"14,49,976.69",0.8872,"1,30,219.34",0.0684,"73,343.18",0.0387,"7,892.40",0.0046,"3,982.13",0.0022,"5,204.39",0.0027,"4,258.10",0.0018,"43,132.02",0.0194,"3,372.60",0.0016,"6,011.63",0.0019,"10,344.33",0.0029,"88,347.73",0.0244,"1,217.40",0.0019,"6,36,671.99",0.4632,"2,38,454.94",0.1749,"2,028.91",0.0012,"1,593.74",0.0007,"55,553.32",0.0208,"3,05,211.14",0.1124,413.04,0.0002,"51,061.23",0.0205,"1,72,764.65",0.067,"26,090.62",0.0087,"27,517.98",0.0077,"10,265.00",0.0031,"26,347.56",0.009,"2,617.98",0.0006,"2,943.22",0.0005,"17,264.65",0.0031,"42,88,765.80","15,76,799.97","27,11,965.83",92752.93941,238264.7667,0.052564706,0.174394444
17,BAHARAIN IS,"1,31,407.49",0.1563,"1,18,507.43",0.1402,"2,93,276.84",0.2579,"2,11,834.41",0.1445,"3,28,366.74",0.2009,"3,76,321.12",0.1975,"2,89,651.42",0.1527,"4,25,939.57",0.2482,"3,16,258.52",0.171,"3,58,885.17",0.1834,"5,21,482.40",0.226,"3,96,962.47",0.1788,"3,90,363.06",0.1808,"6,70,604.98",0.2131,"7,78,779.62",0.215,"7,54,172.95",0.2084,"1,11,940.45",0.1789,"1,41,846.07",0.1032,"1,20,528.14",0.0884,"2,91,949.76",0.1734,"4,32,624.88",0.1845,"3,59,671.24",0.1348,"3,44,888.13",0.127,"2,72,004.96",0.0994,"2,33,866.38",0.0939,"1,95,085.05",0.0757,"2,78,292.20",0.0927,"3,77,480.56",0.105,"2,99,033.20",0.089,"4,04,103.61",0.1386,"5,62,961.00",0.1231,"8,14,232.06",0.1416,"6,87,409.78",0.1229,"64,74,754.64","58,15,977.02","6,58,777.62",342116.2953,359708.5911,0.111364706,0.180755556
18,BANGLADESH PR,"11,31,721.47",1.3461,"11,50,106.83",1.3602,"14,75,247.50",1.2975,"18,38,669.09",1.2542,"27,98,257.77",1.7122,"37,41,126.05",1.9638,"39,44,038.17",2.0798,"39,52,725.87",2.3029,"45,74,043.70",2.4732,"55,53,699.44",2.8386,"64,39,152.25",2.7903,"58,17,660.89",2.6207,"71,50,929.35",3.3121,"1,20,53,472.57",3.8301,"97,78,450.59",2.7001,"91,61,333.10",2.5313,"14,88,646.29",2.3796,37.46,0,95.62,0.0001,"2,03,138.64",0.1207,"2,79,636.10",0.1192,"3,46,792.73",0.1299,"2,90,332.86",0.1069,"3,79,440.83",0.1386,"4,76,707.24",0.1914,"4,70,773.13",0.1826,"4,41,997.78",0.1473,"7,33,869.49",0.2042,"8,97,514.07",0.267,"8,05,347.95",0.2762,"14,74,950.21",0.3226,"16,24,526.23",0.2825,"15,26,812.52",0.273,"8,20,49,280.93","99,51,972.86","7,20,97,308.07",585410.1682,4558293.385,0.162482353,2.15515
19,BARBADOS,"1,761.65",0.0021,"2,041.99",0.0024,"2,482.31",0.0022,"3,615.88",0.0025,"3,193.11",0.002,"3,895.66",0.002,"6,240.09",0.0033,"6,896.14",0.004,"8,294.29",0.0045,"8,216.93",0.0042,"8,707.91",0.0038,"9,043.18",0.0041,"8,199.99",0.0038,"12,079.32",0.0038,"19,252.77",0.0053,"15,594.73",0.0043,"5,038.32",0.0081,"1,25,541.11",0.0913,"2,06,616.33",0.1515,69.8,0,363.41,0.0002,52.03,0,68.7,0,100.64,0,107.46,0,121.21,0,128.98,0,"1,227.96",0.0003,"1,046.94",0.0003,448.4,0.0002,627.36,0.0001,"1,045.25",0.0002,"2,692.66",0.0005,"1,24,554.27","3,40,258.24","-2,15,703.97",20015.19059,6919.681667,0.014388235,0.003466667
20,BELARUS,"16,350.95",0.0194,"17,968.98",0.0213,"16,495.80",0.0145,"59,738.82",0.0408,"30,111.21",0.0184,"32,544.21",0.0171,"29,369.31",0.0155,"23,474.44",0.0137,"26,930.16",0.0146,"30,690.08",0.0157,"38,997.39",0.0169,"39,502.18",0.0178,"46,136.74",0.0214,"48,682.85",0.0155,"35,191.95",0.0097,"36,287.86",0.01,"6,563.00",0.0105,"26,05,788.66",1.8959,"28,46,578.31",2.0873,"93,994.27",0.0558,"89,883.91",0.0383,"1,16,201.59",0.0435,"94,705.35",0.0349,"1,11,371.05",0.0407,"1,06,587.44",0.0428,"1,14,293.44",0.0443,"1,33,782.43",0.0446,"1,58,218.52",0.044,"1,03,650.19",0.0308,"2,13,145.94",0.0731,"2,84,137.82",0.0621,"53,163.24",0.0092,"12,610.81",0.0023,"5,35,035.93","71,38,112.97","-66,03,077.04",419888.9982,29724.21833,0.267623529,0.016266667
