S.No.,Country,2008-2009,%Share,2009-2010,%Share2,2010-2011,%Share3,2011-2012,%Share4,2012-2013,%Share5,2013-2014,%Share6,2014-2015,%Share7,2015-2016,%Share8,2016-2017,%Share9,2017-2018,%Share10,2018-2019,%Share11,2019-2020,%Share12,2020-2021,%Share13,2021-2022,%Share14,2022-2023,%Share15,2023-2024,%Share16,2024-2025,%Share17,2008-2009,% share,2009-2010,% share2,2010-2011,% share3,2011-2012,% share4,2012-2013,% share5,2013-2014,% share6,2014-2015,% share7,2015-2016,% share8,2016-2017,% share9,2017-2018,% share10,2018-2019,% share11,2019-2020,% share12,2020-2021,% share13,2021-2022,% share14,2022-2023,% share15,2023-2024,% share16,Sum of Exp,Sum of Imp,Diff of imp And Exp,Ave Imp per Country,Ave exp per Country,Ave Imp share ,Ave exp share
21,BELGIUM,"20,30,939.59",2.4156,"17,75,704.94",2.1001,"26,34,703.81",2.3173,"34,20,614.59",2.3334,"29,92,640.23",1.8311,"38,68,685.89",2.0308,"33,71,799.10",1.778,"32,95,874.77",1.9202,"37,91,503.93",2.0501,"40,00,724.73",2.0448,"47,00,768.29",2.037,"41,16,419.76",1.8544,"38,68,277.85",1.7917,"75,22,465.09",2.3903,"70,99,803.30",1.9604,"64,87,206.34",1.7924,"8,73,490.38",1.3963,48.19,0,174.38,0.0001,"39,17,866.54",2.3273,"49,75,727.42",2.1214,"54,53,675.79",2.0432,"64,67,230.82",2.3817,"65,93,873.86",2.4091,"54,00,131.46",2.1685,"44,39,563.86",1.7223,"38,64,569.12",1.2877,"73,00,229.11",2.0308,"62,83,075.35",1.8694,"51,24,677.10",1.7575,"74,17,679.12",1.6221,"73,58,518.64",1.2798,"59,92,478.27",1.0714,"6,58,51,622.59","8,05,89,519.03","-1,47,37,896.44",4740559.943,3658423.477,1.534841176,1.891327778
22,BELIZE,"1,312.25",0.0016,"1,168.78",0.0014,"6,524.96",0.0057,"12,548.61",0.0086,"12,808.50",0.0078,"13,402.48",0.007,"14,970.47",0.0079,"9,512.81",0.0055,"10,223.37",0.0055,"8,683.80",0.0044,"11,885.78",0.0052,"10,105.61",0.0046,"6,965.29",0.0032,"11,382.25",0.0036,"12,836.57",0.0035,"11,145.92",0.0031,"1,959.18",0.0031,"49,119.57",0.0357,"59,721.30",0.0438,95.1,0.0001,38.02,0,114.9,0,943.78,0.0003,130.36,0,651.66,0.0003,348.61,0.0001,876.9,0.0003,451.78,0.0001,672.63,0.0002,371.57,0.0001,369.71,0.0001,849.8,0.0001,226.55,0,"1,57,436.63","1,14,982.24","42,454.39",6763.661176,8746.479444,0.004776471,0.004538889
23,BENIN,"93,677.50",0.1114,"1,04,637.95",0.1238,"1,19,939.62",0.1055,"3,08,301.10",0.2103,"2,60,476.27",0.1594,"4,63,642.15",0.2434,"3,03,851.22",0.1602,"2,79,795.15",0.163,"3,00,124.83",0.1623,"3,08,926.03",0.1579,"2,98,715.13",0.1294,"2,29,743.75",0.1035,"4,10,244.92",0.19,"5,34,781.14",0.1699,"7,20,409.46",0.1989,"6,21,582.04",0.1717,"1,33,101.34",0.2128,"31,262.39",0.0227,93.99,0.0001,"70,043.33",0.0416,"1,19,981.42",0.0512,"1,34,996.28",0.0506,"1,00,098.27",0.0369,"1,34,270.18",0.0491,"1,77,788.10",0.0714,"1,39,130.10",0.054,"1,43,688.67",0.0479,"2,60,431.23",0.0724,"2,53,394.30",0.0754,"2,43,990.03",0.0837,"2,98,434.69",0.0653,"3,59,383.60",0.0625,"1,78,060.24",0.0318,"54,91,949.60","26,45,046.82","28,46,902.78",155590.9894,305108.3111,0.048035294,0.154077778
24,BERMUDA,351.17,0.0004,390.76,0.0005,411.33,0.0004,481.18,0.0003,733.53,0.0004,"1,574.44",0.0008,"1,667.50",0.0009,"1,691.08",0.001,"2,818.77",0.0015,"2,008.27",0.001,"2,204.35",0.001,"1,758.55",0.0008,"3,310.80",0.0015,"4,125.44",0.0013,"4,052.20",0.0011,"5,038.44",0.0014,614.17,0.001,"68,786.18",0.05,"72,298.50",0.053,1.77,0,119981.42,  ,24.22,0,100098.27,  ,57.7,0,0.2,0,11,0,2.75,0,"5,342.19",0.0015,0.01,0,29.15,0,9.09,0,40.71,0,"1,78,060.24",0.0318,"33,231.98","5,44,743.40","-5,11,511.42",32043.72941,1846.221111,0.009086667,0.00085
25,BHUTAN,"50,927.26",0.0606,"56,085.31",0.0663,"80,151.85",0.0705,"1,10,440.44",0.0753,"1,26,739.17",0.0775,"2,15,494.52",0.1131,"2,05,102.76",0.1082,"3,06,807.74",0.1788,"3,41,354.14",0.1846,"3,52,001.90",0.1799,"4,59,132.95",0.199,"5,23,528.64",0.2358,"5,19,322.07",0.2405,"6,60,458.94",0.2099,"8,66,258.27",0.2392,"7,97,993.86",0.2205,"1,55,901.49",0.2492,"3,421.21",0.0025,"1,589.63",0.0012,"91,735.68",0.0545,"97,357.11",0.0415,"89,244.65",0.0334,"91,932.97",0.0339,"91,527.93",0.0334,"1,82,684.98",0.0734,"2,06,299.31",0.08,"2,43,580.96",0.0812,"2,59,008.62",0.0721,"2,87,076.86",0.0854,"3,21,422.74",0.1102,"4,05,416.62",0.0887,"4,30,989.42",0.075,"2,80,749.36",0.0502,"58,27,701.31","30,84,038.05","27,43,663.26",181414.0029,323761.1839,0.053917647,0.150494444
26,BOLIVIA,"4,382.33",0.0052,"4,617.34",0.0055,"7,144.33",0.0063,"12,071.61",0.0082,"31,193.16",0.0191,"32,032.90",0.0168,"43,314.16",0.0228,"48,653.08",0.0283,"53,258.88",0.0288,"67,857.30",0.0347,"73,487.82",0.0318,"80,389.39",0.0362,"69,619.54",0.0322,"87,736.29",0.0279,"61,950.03",0.0171,"59,066.00",0.0163,"11,044.31",0.0177,632.41,0.0005,239.31,0.0002,"3,048.25",0.0018,"1,932.69",0.0008,"4,002.79",0.0015,"1,443.16",0.0005,"2,191.87",0.0008,"1,58,033.53",0.0635,"1,16,654.77",0.0453,"4,30,403.16",0.1434,"5,98,857.66",0.1666,"5,99,581.85",0.1784,"8,53,717.82",0.2928,"15,45,912.46",0.3381,"20,36,545.31",0.3542,"8,99,413.57",0.1608,"7,47,818.47","72,52,610.61","-65,04,792.14",426624.1535,41545.47056,0.102894118,0.019716667
27,BOSNIA-HRZGOVIN,"2,449.17",0.0029,"1,279.94",0.0015,"1,450.11",0.0013,"2,797.58",0.0019,"3,761.58",0.0023,"7,040.81",0.0037,"10,926.73",0.0058,"12,947.50",0.0075,"8,794.28",0.0048,"9,914.39",0.0051,"11,914.25",0.0052,"10,848.24",0.0049,"11,161.27",0.0052,"12,679.18",0.004,"13,886.29",0.0038,"24,217.27",0.0067,"2,114.20",0.0034,"9,778.74",0.0071,"3,275.86",0.0024,"8,604.01",0.0051,"8,631.30",0.0037,"10,592.59",0.004,"1,006.65",0.0004,"2,607.82",0.001,"2,874.95",0.0012,"2,226.79",0.0009,"5,638.05",0.0019,"1,711.64",0.0005,"2,374.83",0.0007,"1,425.31",0.0005,"2,258.11",0.0005,"2,026.32",0.0004,"4,301.47",0.0008,"1,48,182.79","69,334.44","78,848.35",4078.496471,8232.377222,0.001829412,0.003888889
28,BOTSWANA,"11,704.04",0.0139,"10,426.09",0.0123,"15,288.33",0.0134,"24,181.23",0.0165,"28,004.85",0.0171,"33,226.16",0.0174,"27,079.05",0.0143,"34,149.14",0.0199,"51,686.36",0.0279,"69,840.13",0.0357,"1,25,351.91",0.0543,"1,26,532.25",0.057,"1,27,411.72",0.059,"2,07,735.71",0.066,"1,35,225.30",0.0373,"90,420.93",0.025,"30,713.34",0.0491,147.86,0.0001,77.57,0.0001,"12,165.86",0.0072,"25,398.22",0.0108,"31,281.84",0.0117,"2,36,081.22",0.0869,"6,16,766.77",0.2253,"3,53,875.58",0.1421,"8,76,627.31",0.3401,"10,56,068.63",0.3519,"6,80,985.35",0.1894,"5,28,431.82",0.1572,"3,39,400.69",0.1164,"3,93,041.59",0.086,"3,67,158.39",0.0639,"2,69,990.68",0.0483,"11,48,976.54","57,87,499.38","-46,38,522.84",340441.14,63832.03,0.108082353,0.029783333
29,BR VIRGN IS,"17,119.26",0.0204,"38,970.64",0.0461,189.09,0.0002,479.29,0.0003,299.5,0.0002,243.19,0.0001,405.31,0.0002,553.5,0.0003,275.76,0.0001,491.7,0.0003,"7,263.00",0.0031,351.21,0.0002,188.32,0.0001,267.22,0.0001,366.33,0.0001,528.85,0.0001,262.03,0.0004,"5,44,949.69",0.3965,"16,25,997.86",1.1923,397.61,0.0002,204.99,0.0001,535.8,0.0002,97.53,0,501.21,0.0002,"1,031.60",0.0004,"4,499.18",0.0017,565.22,0.0002,"11,714.91",0.0033,"6,053.71",0.0018,"8,174.10",0.0028,"10,919.68",0.0024,"8,629.81",0.0015,"1,17,232.27",0.021,"68,254.20","23,41,505.17","-22,73,250.97",137735.5982,3791.9,0.095564706,0.004016667
30,BRAZIL,"11,87,440.98",1.4124,"11,36,483.36",1.3441,"18,33,586.35",1.6127,"27,57,688.27",1.8811,"32,87,202.20",2.0114,"33,87,063.53",1.778,"36,34,024.19",1.9163,"17,26,086.45",1.0057,"16,09,747.63",0.8704,"19,74,731.34",1.0093,"26,61,743.29",1.1534,"28,11,824.32",1.2667,"31,36,033.79",1.4525,"48,34,955.97",1.5364,"79,60,684.39",2.1981,"49,80,912.58",1.3762,"10,27,995.74",1.6432,"1,88,194.37",0.1369,"2,02,852.73",0.1487,"16,06,429.86",0.9542,"20,42,032.01",0.8706,"26,43,882.72",0.9905,"22,54,729.99",0.8303,"33,03,653.63",1.207,"26,39,248.46",1.0598,"27,65,261.71",1.0728,"35,42,854.16",1.1805,"30,83,996.67",0.8579,"21,82,203.85",0.6493,"22,34,485.65",0.7663,"42,57,459.26",0.931,"53,77,961.94",0.9353,"51,44,635.04",0.9199,"4,99,48,204.38","4,34,69,882.05","64,78,322.33",2557051.885,2774900.243,0.794764706,1.414883333
31,BRUNEI,"7,994.52",0.0095,"11,605.02",0.0137,"10,525.05",0.0093,"4,06,235.77",0.2771,"21,830.06",0.0134,"19,610.80",0.0103,"25,609.08",0.0135,"18,572.88",0.0108,"28,720.87",0.0155,"40,713.46",0.0208,"39,346.37",0.017,"40,907.41",0.0184,"46,468.60",0.0215,"32,168.79",0.0102,22.45,0,4980912.58,1.3762,"6,312.20",0.0101,"27,187.64",0.0198,"15,470.76",0.0113,"1,06,485.70",0.0633,"2,85,369.97",0.1217,"4,40,597.91",0.1651,"4,57,496.70",0.1685,"5,13,396.97",0.1876,"3,61,037.07",0.145,"4,20,846.95",0.1633,"2,80,459.23",0.0935,"4,12,202.70",0.1147,"4,17,035.82",0.1241,"2,42,739.70",0.0832,"2,92,792.78",0.064,"2,45,827.79",0.0428,"1,81,709.92",0.0325,"57,37,555.91","47,00,657.61","10,36,898.30",276509.2712,318753.1061,0.094141176,0.102627778
32,BULGARIA,"33,011.76",0.0393,"24,128.28",0.0285,"31,736.99",0.0279,"52,059.37",0.0355,"85,393.39",0.0523,"1,01,801.81",0.0534,"1,63,555.97",0.0862,"94,946.06",0.0553,"1,60,506.35",0.0868,"1,11,676.56",0.0571,"1,47,874.07",0.0641,"1,12,420.09",0.0506,"1,26,031.82",0.0584,"1,84,187.34",0.0585,"55,771.83",0.0154,"55,799.83",0.0154,"33,114.55",0.0529,"18,889.87",0.0137,"2,934.78",0.0022,"26,266.37",0.0156,"47,006.33",0.02,"49,112.72",0.0184,"56,792.55",0.0209,"63,418.90",0.0232,"61,564.98",0.0247,"1,22,007.72",0.0473,"91,573.50",0.0305,"87,564.22",0.0244,"1,01,849.78",0.0303,"92,850.81",0.0318,"1,29,270.86",0.0283,"3,49,602.16",0.0608,"1,59,427.66",0.0285,"15,74,016.07","14,60,133.21","1,13,882.86",85890.18882,87445.33722,0.024741176,0.046533333
33,BURKINA FASO,"21,960.15",0.0261,"17,337.36",0.0205,"20,829.94",0.0183,"40,625.66",0.0277,"46,830.01",0.0287,"62,444.72",0.0328,"68,848.89",0.0363,"71,610.75",0.0417,"77,113.28",0.0417,"95,653.10",0.0489,"1,27,193.40",0.0551,"1,09,074.68",0.0491,"1,53,836.40",0.0713,"1,46,552.11",0.0466,"1,70,058.28",0.047,"1,85,187.44",0.0512,"18,286.13",0.0292,323.13,0.0002,353.81,0.0003,"1,895.13",0.0011,"7,767.35",0.0033,"7,960.96",0.003,"10,094.28",0.0037,"93,735.45",0.0342,"1,55,032.22",0.0623,"1,71,503.61",0.0665,"4,08,139.06",0.136,"6,14,860.58",0.171,"3,83,941.87",0.1142,"2,65,072.62",0.0909,"3,17,266.29",0.0694,"91,875.61",0.016,"1,68,392.24",0.0301,"14,33,442.30","26,98,214.21","-12,64,771.91",158718.4829,79635.68333,0.047188235,0.037344444
34,BURUNDI,"6,494.28",0.0077,"5,964.60",0.0071,"7,342.00",0.0065,"11,665.58",0.008,"17,719.60",0.0108,"18,550.24",0.0097,"19,255.58",0.0102,"18,999.97",0.0111,"24,027.12",0.013,"24,546.01",0.0125,"34,079.51",0.0148,"41,435.56",0.0187,"47,468.24",0.022,"45,051.97",0.0143,"1,41,939.91",0.0392,"99,983.45",0.0276,"5,406.67",0.0086,"1,149.03",0.0008,313.86,0.0002,110.15,0.0001,293.07,0.0001,124.31,0,112.13,0,179.21,0.0001,70.57,0,"1,069.45",0.0004,"10,646.98",0.0035,"3,082.01",0.0009,"2,689.50",0.0008,51.37,0,29.78,0,304.15,0.0001,63,0.0301,"5,69,930.29","20,288.57","5,49,641.72",1193.445294,31662.79389,0.002182353,0.013433333
35,C AFRI REP,"1,122.73",0.0013,"2,409.50",0.0028,"1,597.02",0.0014,"3,051.82",0.0021,"4,583.90",0.0028,"4,615.46",0.0024,"4,735.72",0.0025,"6,054.76",0.0035,"6,897.65",0.0037,"19,251.39",0.0098,"19,131.15",0.0083,"39,526.75",0.0178,"17,567.02",0.0081,"15,044.04",0.0048,"34,538.81",0.0095,"31,804.74",0.0088,"2,589.63",0.0041,"1,197.33",0.0009,"2,405.90",0.0018,700.9,0.0004,963.1,0.0004,"1,090.02",0.0004,547.19,0.0002,384.69,0.0001,544.08,0.0002,253.99,0.0001,"6,367.75",0.0021,"1,414.18",0.0004,397.06,0.0001,168.61,0.0001,139.03,0,"2,118.70",0.0004,194.62,0,"2,14,522.09","18,887.15","1,95,634.94",1111.008824,11917.89389,0.000447059,0.005205556
36,CAMBODIA,"21,507.71",0.0256,"21,553.19",0.0255,"30,483.23",0.0268,"47,753.35",0.0326,"60,998.60",0.0373,"85,808.61",0.045,"87,409.72",0.0461,"93,502.35",0.0545,"70,495.74",0.0381,"78,293.09",0.04,"1,37,081.94",0.0594,"1,33,176.63",0.06,"1,24,752.10",0.0578,"1,48,094.49",0.0471,"16,582.74",0.0046,"54,002.75",0.0149,"25,393.40",0.0406,"14,390.41",0.0105,"63,985.51",0.0469,"3,637.69",0.0022,"3,463.66",0.0015,"6,469.52",0.0024,"7,729.41",0.0028,"10,978.57",0.004,"35,973.42",0.0144,"24,213.58",0.0094,"35,970.85",0.012,"29,827.59",0.0083,"33,060.57",0.0098,"29,138.91",0.01,"70,907.52",0.0155,"1,18,243.00",0.0206,"1,81,010.65",0.0324,"12,36,889.64","6,69,000.86","5,67,888.78",39352.99176,68716.09111,0.011923529,0.036438889
37,CAMEROON,"42,335.75",0.0504,"36,388.98",0.043,"55,157.69",0.0485,"95,134.46",0.0649,"1,36,482.37",0.0835,"1,57,035.81",0.0824,"1,52,553.47",0.0804,"1,24,568.34",0.0726,"99,824.43",0.054,"1,25,015.24",0.0639,"1,24,948.32",0.0541,"1,62,124.50",0.073,"2,06,334.98",0.0956,"3,00,937.09",0.0956,"1,77,043.20",0.0489,"1,53,433.99",0.0424,"78,817.50",0.126,"11,29,675.53",0.8219,"9,95,411.34",0.7299,"62,759.24",0.0373,"2,46,180.50",0.105,"2,41,352.92",0.0904,"1,62,409.49",0.0598,"4,54,151.41",0.1659,"3,61,947.40",0.1453,"2,41,123.52",0.0935,"1,37,331.13",0.0458,"2,35,575.89",0.0655,"4,79,379.09",0.1426,"1,48,600.28",0.051,"6,06,364.14",0.1326,"4,30,656.36",0.0749,"6,53,596.20",0.1169,"22,28,136.12","65,86,514.44","-43,58,378.32",387442.0259,123785.34,0.169311765,0.065511111
38,CANADA,"6,24,678.79",0.743,"5,32,057.94",0.6293,"6,13,988.55",0.54,"9,92,373.57",0.6769,"11,08,246.48",0.6781,"12,34,403.73",0.648,"13,43,067.75",0.7082,"13,20,679.53",0.7695,"13,43,585.41",0.7265,"16,15,354.01",0.8256,"19,93,563.25",0.8639,"20,21,484.00",0.9106,"21,91,316.23",1.0149,"28,07,081.58",0.892,"4,48,317.89",0.1238,"3,75,987.25",0.1039,"5,36,224.57",0.8572,159.85,0.0001,54.63,0,"9,24,330.56",0.5491,"14,11,266.24",0.6017,"15,27,698.70",0.5724,"19,02,983.03",0.7008,"22,96,607.16",0.8391,"27,79,277.24",1.116,"27,72,611.24",1.0756,"30,47,906.85",1.0156,"24,65,576.68",0.6859,"27,42,345.93",0.8159,"19,95,930.67",0.6845,"23,35,021.65",0.5106,"33,49,661.07",0.5826,"37,52,073.75",0.6709,"2,11,02,410.53","3,33,03,505.25","-1,22,01,094.72",1959029.721,1172356.141,0.612988235,0.650633333
39,CANARY IS,624678.79,0.743,27.25,0,63.91,0.0001,2.58,0,3.68,0,1.57,0,11.34,0,1320679.53,0.7695,839.93,0.0005,952.56,0.0005,"1,110.88",0.0005,"1,541.82",0.0007,"2,453.34",0.0011,"4,673.85",0.0015,"32,93,896.84",0.9095,"31,83,684.74",0.8796,542.36,0.0009,58.67,0,692.36,0.0005,950.91,0.0006,"1,617.64",0.0007,"1,857.14",0.0007,"1,883.94",0.0007,"1,828.58",0.0007,"1,805.56",0.0007,"1,276.72",0.0005,"1,816.12",0.0006,"2,032.26",0.0006,"1,443.44",0.0004,"1,506.76",0.0005,"3,445.98",0.0008,"3,549.84",0.0006,"3,843.04",0.0007,"84,35,164.97","29,608.96","84,05,556.01",1741.703529,468620.2761,0.000547059,0.183744444
40,CAPE VERDE IS,175.76,0.0002,330.17,0.0004,226.22,0.0002,219.83,0.0001,513.32,0.0003,869.78,0.0005,"2,501.95",0.0013,936.52,0.0005,"3,179.56",0.0017,"2,594.11",0.0013,"3,047.34",0.0013,"4,698.21",0.0021,"3,187.77",0.0015,"4,945.46",0.0016,"3,599.72",0.001,"2,611.71",0.0007,"55,012.61",0.0879,"1,883.47",0.0014,"3,323.91",0.0024,11.75,0,3.9,0,0.11,0,7.69,0,0.23,0,1805.56,  ,12.71,0,"4,166.00",0.0014,165.42,0,"1,030.28",0.0003,"63,204.70",0.0217,69.3,0,0.73,0,0.35,0,"88,650.04","75,686.11","12,963.93",4452.124118,4925.002222,0.0017,0.0057
41,CAYMAN IS,265.85,0.0003,376.82,0.0004,129.83,0.0001,449.25,0.0003,209.73,0.0001,"1,937.48",0.001,"4,030.21",0.0021,"2,337.23",0.0014,"25,804.42",0.014,"17,597.66",0.009,"26,313.91",0.0114,"41,727.80",0.0188,"43,786.46",0.0203,"39,456.17",0.0125,"4,566.31",0.0013,"5,900.33",0.0016,"14,916.34",0.0238,1883.47,  ,0.08,0,258.22,0.0002,"19,983.80",0.0085,"84,524.18",0.0317,"6,784.39",0.0025,"38,954.85",0.0142,"2,07,730.58",0.0834,"1,13,839.58",0.0442,"96,153.19",0.032,"3,35,532.33",0.0933,"1,91,444.39",0.057,"36,743.17",0.0126,"2,230.05",0.0005,"4,928.69",0.0009,"3,019.74",0.0005,"2,29,805.80","11,44,010.71","-9,14,204.91",67294.74765,12766.98889,0.02384375,0.006577778
42,CHAD,"7,188.97",0.0086,"3,269.72",0.0039,"5,441.09",0.0048,"18,848.49",0.0129,"25,202.98",0.0154,"20,156.37",0.0106,"24,931.28",0.0131,"28,349.78",0.0165,"4,52,188.46",0.2445,"4,92,191.03",0.2516,"6,91,209.06",0.2995,"5,61,173.81",0.2528,"5,95,017.21",0.2756,"8,80,788.26",0.2799,"46,302.68",0.0128,"66,194.67",0.0183,"1,36,397.71",0.218,"6,66,443.07",0.4849,"5,24,722.57",0.3848,258.22,0.0002,"10,28,955.78",0.4387,"16,21,374.25",0.6074,"15,22,960.20",0.5609,"18,80,589.92",0.6871,"12,75,942.54",0.5124,"8,22,920.98",0.3192,"13,47,763.42",0.4491,"8,64,230.97",0.2404,"8,31,272.84",0.2473,"4,97,917.28",0.1708,"10,18,234.82",0.2227,"11,51,973.87",0.2004,"12,53,506.08",0.2241,"40,54,851.57","1,63,09,066.81","-1,22,54,215.24",959356.8712,225269.5317,0.338258824,0.107711111
43,CHANNEL IS,22.18,0,3269.72,0.0039,"2,31,336.65",0.2035,8.79,0,32.26,0,9.89,0,0.01,0,28349.78,0.0165,"68,25,091.98",3.6904,"85,99,429.96",4.3953,"1,17,28,910.90",5.0825,"1,17,67,331.48",5.3009,"1,57,20,159.04",7.2811,"1,58,21,547.51",5.0275,"9,36,922.46",0.2587,"9,79,460.08",0.2706,"21,35,705.93",3.4139,"1,47,60,559.50",10.7394,"1,46,04,861.20",10.7095,"7,05,638.27",0.4192,"2,65,46,561.90",11.3183,"2,84,38,458.52",10.6545,"3,09,23,495.99",11.388,"3,69,56,536.01",13.5021,"4,04,05,084.15",16.225,"4,11,10,329.33",15.9486,"4,92,23,616.54",16.4022,"4,92,07,928.34",13.6891,"4,61,52,476.82",13.732,"4,82,49,579.90",16.5467,"7,05,12,313.21",15.42,"7,90,93,162.64",13.7558,"8,42,46,728.16",15.0632,"7,47,77,588.62","66,11,37,330.48","-58,63,59,741.86",38890431.2,4154310.479,12.08903529,1.941377778
44,CHILE,"1,77,677.13",0.2113,"1,31,888.43",0.156,"64,31,514.27",5.6567,"2,51,439.18",0.1715,"3,75,900.08",0.23,"4,02,825.09",0.2115,"3,46,116.02",0.1825,"4,45,108.27",0.2593,12.94,0,8599429.96,4.3953,11728910.9,5.0825,2.82,0,15720159.04,7.2811,4.93,0,"1,22,77,398.94",3.3901,"1,37,96,645.41",3.812,2135705.93,3.4139,260.81,0.0002,"3,155.04",0.0023,"1,98,07,907.58",11.7661,0.84,0,41.82,0,40.46,0,50.32,0,0.28,0,11.8,0,428.99,0.0001,49207928.34,  ,10.67,0,1.47,0,24.93,0,79093162.64,13.7558,73,15.0632,"7,28,20,739.34","14,81,13,098.99","-7,52,92,359.65",8712535.235,4045596.63,2.53673125,1.914094444
45,CHINA P RP,"42,66,133.36",5.0742,"54,71,392.87",6.4709,533.82,0.0005,"87,47,082.09",5.9668,"73,52,956.23",4.4991,"90,56,108.68",4.7538,"73,03,043.30",3.8511,"58,93,941.16",3.4339,"5,25,985.14",0.2844,"6,05,414.89",0.3094,"7,81,087.66",0.3385,"7,39,768.53",0.3333,0.43,0,4.93,0,12277398.94,3.3901,2.84,0,2135705.93,3.4139,18.63,0,9.92,0,26.41,0,14.72,0,41.82,0,0.72,0,50.32,  ,"5,26,588.92",0.2115,"3,98,499.97",0.1546,3.05,0,1.5,0,"5,76,842.95",0.1716,"10,38,999.73",0.3563,"22,13,169.02",0.484,"21,09,761.05",0.3669,"25,56,554.92",0.4571,"6,51,56,560.80","94,20,583.65","5,57,35,977.15",554151.9794,3619808.933,0.137625,2.339994444
46,CHRISTMAS IS.,96.56,0.0001,741.68,0.0009,421.76,0.0004,8.9,0,15.02,0,4.47,0,5.78,0,5893941.16,3.4339,"13,911.10",0.0075,"19,156.60",0.0098,"13,451.57",0.0058,"13,383.88",0.006,"6,38,459.93",0.2957,"10,26,657.94",0.3262,9.63,0,10.53,0,"1,88,796.09",0.3018,"8,104.24",0.0059,"2,00,909.96",0.1473,"22,188.55",0.0132,"2,72,312.36",0.1161,"12,81,251.60",0.48,"29,99,627.90",1.1047,"13,07,005.55",0.4775,"10,009.21",0.004,"17,274.05",0.0067,"3,82,321.78",0.1274,"7,39,350.31",0.2057,"14,047.07",0.0042,"9,243.32",0.0032,"11,100.32",0.0024,"13,154.90",0.0023,"15,451.63",0.0028,"78,09,072.60","73,03,352.75","5,05,719.85",429608.9853,433837.3667,0.159023529,0.243783333
47,COCOS IS,0.72,0,2.97,0,"2,55,501.72",0.2247,388.57,0.0003,27.01,0,2.94,0,"6,76,247.92",0.3566,"5,79,540.33",0.3377,"1,33,524.30",0.0722,"1,45,082.49",0.0742,"2,12,269.13",0.092,"2,50,052.37",0.1126,"13,491.35",0.0062,"17,207.29",0.0055,"11,58,746.81",0.32,"10,09,130.38",0.2788,"3,222.87",0.0052,143.44,0.0001,320.18,0.0002,"3,86,557.80",0.2296,"1,469.54",0.0006,"4,352.81",0.0016,"4,070.76",0.0015,"6,965.65",0.0025,"62,407.84",0.0251,"57,586.98",0.0223,"24,015.19",0.008,"23,057.97",0.0064,"22,754.59",0.0068,"7,580.74",0.0026,"23,416.50",0.0051,"1,75,492.94",0.0305,"1,72,427.73",0.0308,"44,54,439.17","9,72,620.66","34,81,818.51",57212.98,247468.8428,0.021982353,0.104777778
48,COLOMBIA,"1,68,762.56",0.2007,"1,84,004.33",0.2176,"3,922.13",0.0034,"4,29,357.34",0.2929,"4,96,577.53",0.3038,"6,11,532.15",0.321,"10,845.16",0.0057,"11,166.88",0.0065,"90,969.45",0.0492,"75,221.74",0.0384,"93,316.20",0.0404,"80,060.37",0.0361,"3,17,983.26",0.1473,"4,23,430.26",0.1345,"32,288.85",0.0089,"23,162.06",0.0064,"74,849.96",0.1196,"47,379.75",0.0345,"67,714.27",0.0497,"3,823.66",0.0023,456.04,0.0002,4352.81,0.0016,"27,727.47",0.0102,"77,030.74",0.0281,"1,30,467.86",0.0524,"1,04,938.30",0.0407,"1,45,287.21",0.0484,"13,330.13",0.0037,"4,09,625.42",0.1219,"1,82,969.96",0.0627,"9,83,477.76",0.2151,"16,30,177.97",0.2835,"1,01,809.32",0.0182,"31,27,450.23","39,30,568.67","-8,03,118.44",231209.9218,173747.235,0.057247059,0.107355556
49,COMOROS,"11,732.01",0.014,"4,396.85",0.0052,"3,057.76",0.0027,"5,278.34",0.0036,"11,255.99",0.0069,"8,242.06",0.0043,"1,55,942.87",0.0822,"2,08,515.52",0.1215,99.78,0.0001,115.45,0.0001,188.07,0.0001,222.47,0.0001,"81,208.48",0.0376,"1,20,169.53",0.0382,"5,06,600.44",0.1399,"4,80,453.10",0.1327,"16,892.35",0.027,"2,18,453.37",0.1589,"2,56,994.16",0.1884,"4,474.81",0.0027,"1,27,482.83",0.0544,"2,50,088.34",0.0937,"53,932.60",0.0199,"2,23,113.33",0.0815,130467.86,  ,"39,423.69",0.0153,"1,28,321.44",0.0428,"2,86,251.85",0.0796,409625.42,  ,24.76,0,"47,102.98",0.0103,"48,816.90",0.0085,"97,601.71",0.0175,"16,14,371.07","23,22,176.05","-7,07,804.98",136598.5912,89687.28167,0.051566667,0.034233333
50,CONGO D. REP.,"7,048.26",0.0084,"4,719.24",0.0056,"1,10,032.04",0.0968,"3,500.89",0.0024,"80,408.96",0.0492,"1,09,909.99",0.0577,"1,55,249.68",0.0819,"1,08,920.56",0.0635,"1,06,857.27",0.0578,"86,050.76",0.044,"95,309.61",0.0413,"89,796.63",0.0405,53.21,0,29.74,0,"1,43,740.80",0.0397,"1,45,814.57",0.0403,37.83,0.0001,0.2,0,256994.16,  ,"2,48,015.56",0.1473,17.29,0,250088.34,0.0937,"1,23,594.06",0.0455,1.67,0,"40,268.08",0.0162,"3,05,620.48",0.1186,4.79,0,13.45,0,"34,274.55",0.0102,"35,044.57",0.012,"3,51,448.24",0.0769,"5,30,162.83",0.0922,"3,17,996.08",0.0569,"12,47,480.04","24,93,544.35","-12,46,064.31",146679.0794,69304.44667,0.04184375,0.034955556
